Quote,Source
"Advice is one thing that is freely given away, but watch that you only take what is worth having.","George Clason, The Richest Man in Babylon"
"The hungrier one becomes, the clearer one's mind works— also the more sensitive one becomes to the odors of food.","George Clason, The Richest Man in Babylon"
"The sun that shines today is the sun that shone when thy father was born, and","George Clason, The Richest Man in Babylon"
will still be shining when thy last grandchild shall pass into the darkness.,"George Clason, The Richest Man in Babylon"
In those things toward which we exerted our best endeavors we succeeded.,"George Clason, The Richest Man in Babylon"
"In the deepest sense of the word, a friend is someone who sees more potential in you than you see in yourself, someone who helps you become the best version of yourself.","Adam Grant, Originals"
Argue like you’re right and listen like you’re wrong.,"Adam Grant, Originals"
"Procrastination may be the enemy of productivity, but it can be a resource for creativity.","Adam Grant, Originals"
Being original doesn’t require being first. It just means being different and better.,"Adam Grant, Originals"
"Practice makes perfect, but it doesn’t make new.","Adam Grant, Originals"
Creativity is allowing yourself to make mistakes. Art is knowing which ones to keep.,"Adam Grant, Originals"
This explains why we often undercommunicate our ideas. They’re already so familiar to us that we underestimate how much exposure an audience needs to comprehend and buy into them,"Adam Grant, Originals"
"In these pages, I learned that great creators don’t necessarily have the deepest expertise but rather seek out the broadest perspectives.","Adam Grant, Originals"
I arise in the morning torn between a desire to improve the world and a desire to enjoy the world,E.B. White
Having a sense of security in one realm gives us the freedom to be original in another.,"Adam Grant, Originals"
"When our commitment is wavering, the best way to stay on track is to consider the progress we've already made. As we recognize what we've invested and attained, it seems like a waste to give up, and our confidence and commitment surge.","Adam Grant, Originals"
"People who suffer the most from a given state of affairs are paradoxically the least likely to question, challenge, reject, or change it.","Adam Grant, Originals"
It's important to know whether you're putting energy into something that has the potential to pay off. This is one of life's biggest challenges. We often stay in dead-end situations way too long...hoping the situation will improve.,"Tina Seelig, What I Wish I Knew When I Was 20"
"The bigger the problem, the bigger the opportunity.","Tina Seelig, What I Wish I Knew When I Was 21"
"Uncertainty is the essence of life, and it fuels opportunity.","Tina Seelig, What I Wish I Knew When I Was 22"
"The harder you work, the luckier you get.","Tina Seelig, What I Wish I Knew When I Was 23"
"If you throw gasoline on a log, all you get is a wet log. But if you throw gasoline on a small flame, you get an inferno.","Tina Seelig, What I Wish I Knew When I Was 24"
"The well-worn path is there for everyone to trample. But the interesting things often occur when you are open to taking an unexpected turn, to trying something different, and when you are willing to question the rules others have made for you.","Tina Seelig, What I Wish I Knew When I Was 25"
"Sometimes quitting is the bravest alternative, because it requires you to face your failures and announce them publicly.","Tina Seelig, What I Wish I Knew When I Was 26"
"Ideas are like babies because everyone thinks theirs is cute, therefore be objective when judging your own ideas.","Tina Seelig, What I Wish I Knew When I Was 27"
"Keep in mind that failure is a natural part of learning process. If you aren't failing sometimes, then you probably aren't taking enough risks.","Tina Seelig, What I Wish I Knew When I Was 28"
The key to success is the ability to extract the lessons out of each of these experiences and to move on with that new knowledge.,"Tina Seelig, What I Wish I Knew When I Was 29"
